True Cost 	Penalty 	Adjusted Cost
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
-7.086804E+00	0.000000E+00	-7.086804E+00
